bidder_id,requirement_id,expected_result
NANDHI,REQ-TURNOVER-01,PASS
SPK,REQ-PAN-01,PASS
SPK,REQ-GST-01,PASS
SPK,REQ-MSME-UDYAM-01,PASS
SPK,REQ-EXP-AMC-01,PASS
SPK,REQ-MANPOWER-01,PASS
SPK,REQ-EPFO-ESIC-01,MISSING
SPK,REQ-SLA-01,PASS
SPK,REQ-DEBAR-01,PASS
SPK,REQ-EMD-01,PASS
SPK,REQ-TURNOVER-01,PASS
MURUGA,REQ-PAN-01,MISMATCH
MURUGA,REQ-GST-01,PASS
MURUGA,REQ-MSME-UDYAM-01,PASS
MURUGA,REQ-EXP-AMC-01,PASS
MURUGA,REQ-MANPOWER-01,PASS
MURUGA,REQ-EPFO-ESIC-01,PASS
MURUGA,REQ-SLA-01,PASS
MURUGA,REQ-DEBAR-01,PASS
MURUGA,REQ-EMD-01,PASS
MURUGA,REQ-TURNOVER-01,PASS
COROMANDEL,REQ-PAN-01,PASS
COROMANDEL,REQ-GST-01,PASS
COROMANDEL,REQ-MSME-UDYAM-01,PASS
COROMANDEL,REQ-EXP-AMC-01,PASS
COROMANDEL,REQ-MANPOWER-01,PASS
COROMANDEL,REQ-EPFO-ESIC-01,FAIL
COROMANDEL,REQ-SLA-01,PASS
COROMANDEL,REQ-DEBAR-01,PASS
COROMANDEL,REQ-EMD-01,PASS
COROMANDEL,REQ-TURNOVER-01,PASS
VETRI,REQ-PAN-01,PASS
VETRI,REQ-GST-01,PASS
VETRI,REQ-MSME-UDYAM-01,PASS
VETRI,REQ-EXP-AMC-01,PASS
VETRI,REQ-MANPOWER-01,MANUAL_REVIEW
VETRI,REQ-EPFO-ESIC-01,PASS
VETRI,REQ-SLA-01,PASS
VETRI,REQ-DEBAR-01,PASS
VETRI,REQ-EMD-01,PASS
VETRI,REQ-TURNOVER-01,PASS
AMMAN,REQ-PAN-01,PASS
AMMAN,REQ-GST-01,PASS
AMMAN,REQ-UDYAM-01,PASS
AMMAN,REQ-MSE-CATEGORY-01,PASS
AMMAN,REQ-EMD-EXEMPT-01,PASS
AMMAN,REQ-L1-PREFERENCE-01,PASS
AMMAN,REQ-DEBAR-01,PASS
AMMAN,REQ-EXP-RELAXED-01,PASS
AMMAN,REQ-TURNOVER-RELAXED-01,PASS
AMMAN,REQ-QUALITY-CERT-01,PASS
SRIBALAJI,REQ-PAN-01,PASS
SRIBALAJI,REQ-GST-01,PASS
SRIBALAJI,REQ-UDYAM-01,MISSING
SRIBALAJI,REQ-MSE-CATEGORY-01,PASS
SRIBALAJI,REQ-EMD-EXEMPT-01,PASS
SRIBALAJI,REQ-L1-PREFERENCE-01,PASS
SRIBALAJI,REQ-DEBAR-01,PASS
SRIBALAJI,REQ-EXP-RELAXED-01,PASS
SRIBALAJI,REQ-TURNOVER-RELAXED-01,PASS
SRIBALAJI,REQ-QUALITY-CERT-01,PASS
LAKSHMI,REQ-PAN-01,PASS
LAKSHMI,REQ-GST-01,PASS
LAKSHMI,REQ-UDYAM-01,MISMATCH
LAKSHMI,REQ-MSE-CATEGORY-01,PASS
LAKSHMI,REQ-EMD-EXEMPT-01,PASS
LAKSHMI,REQ-L1-PREFERENCE-01,PASS
LAKSHMI,REQ-DEBAR-01,PASS
LAKSHMI,REQ-EXP-RELAXED-01,PASS
LAKSHMI,REQ-TURNOVER-RELAXED-01,PASS
LAKSHMI,REQ-QUALITY-CERT-01,PASS
DEVI,REQ-PAN-01,PASS
DEVI,REQ-GST-01,PASS
DEVI,REQ-UDYAM-01,FAIL
DEVI,REQ-MSE-CATEGORY-01,PASS
DEVI,REQ-EMD-EXEMPT-01,PASS
DEVI,REQ-L1-PREFERENCE-01,PASS
DEVI,REQ-DEBAR-01,PASS
DEVI,REQ-EXP-RELAXED-01,PASS
DEVI,REQ-TURNOVER-RELAXED-01,PASS
DEVI,REQ-QUALITY-CERT-01,PASS
GANESH,REQ-PAN-01,PASS
GANESH,REQ-GST-01,PASS
GANESH,REQ-UDYAM-01,PASS
GANESH,REQ-MSE-CATEGORY-01,PASS
GANESH,REQ-EMD-EXEMPT-01,PASS
GANESH,REQ-L1-PREFERENCE-01,PASS
GANESH,REQ-DEBAR-01,PASS
GANESH,REQ-EXP-RELAXED-01,PASS
GANESH,REQ-TURNOVER-RELAXED-01,MANUAL_REVIEW
GANESH,REQ-QUALITY-CERT-01,PASS
